Timestamp,Level,Domain,Device ID,Device Name,Location,Service,Service Data,User ID,User Name,Event,Weekend,Hour,Day of Week,timestamp,hour,date,weekday
2026-03-17 00:09:30,DEBUG,light,3C0HH55F-04E6-69EB-D918-HG74H40100FD,kitchen_light,kitchen,turn_on,udid=3C0HH55F-04E6-69EB-D918-HG74H40100FD,USR-001,Alice,state_changed,No,0.0,Tuesday,2026-03-17 00:09:30,0,2026-03-17,Tuesday
2026-03-17 01:47:38,DEBUG,climate,1A8EF33D-82C4-47C9-B796-FE52F28988DB,bedroom_ac,bedroom,turn_off,udid=1A8EF33D-82C4-47C9-B796-FE52F28988DB,USR-001,Alice,state_changed,No,1.0,Tuesday,2026-03-17 01:47:38,1,2026-03-17,Tuesday
2026-03-17 01:52:07,DEBUG,light,5E2JJ77H-26G8-81GD-F130-JI96J62322HF,bedroom_light,bedroom,turn_off,udid=5E2JJ77H-26G8-81GD-F130-JI96J62322HF,USR-001,Alice,state_changed,No,1.0,Tuesday,2026-03-17 01:52:07,1,2026-03-17,Tuesday
2026-03-17 01:57:00,DEBUG,cover,9I6NN11L-60K2-25KH-J574-NM30N06766LJ,garage_door,garage,turn_off,udid=9I6NN11L-60K2-25KH-J574-NM30N06766LJ,USR-003,Carol,state_changed,No,1.0,Tuesday,2026-03-17 01:57:00,1,2026-03-17,Tuesday
2026-03-17 03:15:35,DEBUG,climate,8H5MM00K-59J1-14JG-I463-ML29M95655KI,smart_thermostat,hallway,turn_on,udid=8H5MM00K-59J1-14JG-I463-ML29M95655KI,USR-002,Bob,state_changed,No,3.0,Tuesday,2026-03-17 03:15:35,3,2026-03-17,Tuesday
2026-03-17 05:11:09,DEBUG,media,2B9FG44E-93D5-58DA-C807-GF63G39099EC,living_room_tv,living_room,turn_off,udid=2B9FG44E-93D5-58DA-C807-GF63G39099EC,USR-001,Alice,state_changed,No,5.0,Tuesday,2026-03-17 05:11:09,5,2026-03-17,Tuesday
2026-03-17 05:34:52,DEBUG,light,3C0HH55F-04E6-69EB-D918-HG74H40100FD,kitchen_light,kitchen,turn_on,udid=3C0HH55F-04E6-69EB-D918-HG74H40100FD,USR-001,Alice,state_changed,No,5.0,Tuesday,2026-03-17 05:34:52,5,2026-03-17,Tuesday
2026-03-17 05:47:21,DEBUG,media,2B9FG44E-93D5-58DA-C807-GF63G39099EC,living_room_tv,living_room,turn_on,udid=2B9FG44E-93D5-58DA-C807-GF63G39099EC,USR-002,Bob,state_changed,No,5.0,Tuesday,2026-03-17 05:47:21,5,2026-03-17,Tuesday
2026-03-17 05:50:38,DEBUG,climate,1A8EF33D-82C4-47C9-B796-FE52F28988DB,bedroom_ac,bedroom,turn_off,udid=1A8EF33D-82C4-47C9-B796-FE52F28988DB,USR-001,Alice,state_changed,No,5.0,Tuesday,2026-03-17 05:50:38,5,2026-03-17,Tuesday
2026-03-17 05:54:38,DEBUG,light,6F3KK88I-37H9-92HE-G241-KJ07K73433IG,bathroom_light,bathroom,turn_on,udid=6F3KK88I-37H9-92HE-G241-KJ07K73433IG,USR-001,Alice,call_service,No,5.0,Tuesday,2026-03-17 05:54:38,5,2026-03-17,Tuesday
2026-03-17 06:15:48,DEBUG,light,3C0HH55F-04E6-69EB-D918-HG74H40100FD,kitchen_light,kitchen,turn_on,udid=3C0HH55F-04E6-69EB-D918-HG74H40100FD,USR-003,Carol,state_changed,No,6.0,Tuesday,2026-03-17 06:15:48,6,2026-03-17,Tuesday
2026-03-17 06:44:07,DEBUG,light,5E2JJ77H-26G8-81GD-F130-JI96J62322HF,bedroom_light,bedroom,turn_on,udid=5E2JJ77H-26G8-81GD-F130-JI96J62322HF,USR-002,Bob,state_changed,No,6.0,Tuesday,2026-03-17 06:44:07,6,2026-03-17,Tuesday
2026-03-17 06:51:09,DEBUG,light,6F3KK88I-37H9-92HE-G241-KJ07K73433IG,bathroom_light,bathroom,turn_on,udid=6F3KK88I-37H9-92HE-G241-KJ07K73433IG,USR-003,Carol,scene_activated,No,6.0,Tuesday,2026-03-17 06:51:09,6,2026-03-17,Tuesday
2026-03-17 06:54:56,DEBUG,light,3C0HH55F-04E6-69EB-D918-HG74H40100FD,kitchen_light,kitchen,turn_on,udid=3C0HH55F-04E6-69EB-D918-HG74H40100FD,USR-003,Carol,state_changed,No,6.0,Tuesday,2026-03-17 06:54:56,6,2026-03-17,Tuesday
2026-03-17 06:56:46,DEBUG,light,3C0HH55F-04E6-69EB-D918-HG74H40100FD,kitchen_light,kitchen,turn_on,udid=3C0HH55F-04E6-69EB-D918-HG74H40100FD,USR-001,Alice,state_changed,No,6.0,Tuesday,2026-03-17 06:56:46,6,2026-03-17,Tuesday
2026-03-17 07:07:31,DEBUG,light,5E2JJ77H-26G8-81GD-F130-JI96J62322HF,bedroom_light,bedroom,turn_off,udid=5E2JJ77H-26G8-81GD-F130-JI96J62322HF,USR-001,Alice,state_changed,No,7.0,Tuesday,2026-03-17 07:07:31,7,2026-03-17,Tuesday
2026-03-17 07:59:52,DEBUG,lock,4D1II66G-15F7-70FC-E029-IH85I51211GE,front_door_lock,entrance,lock,udid=4D1II66G-15F7-70FC-E029-IH85I51211GE,USR-001,Alice,state_changed,No,7.0,Tuesday,2026-03-17 07:59:52,7,2026-03-17,Tuesday
2026-03-17 08:56:07,INFO,lock,4D1II66G-15F7-70FC-E029-IH85I51211GE,front_door_lock,entrance,lock,udid=4D1II66G-15F7-70FC-E029-IH85I51211GE,USR-003,Carol,call_service,No,8.0,Tuesday,2026-03-17 08:56:07,8,2026-03-17,Tuesday
2026-03-17 09:02:38,INFO,media,2B9FG44E-93D5-58DA-C807-GF63G39099EC,living_room_tv,living_room,turn_on,udid=2B9FG44E-93D5-58DA-C807-GF63G39099EC,USR-002,Bob,call_service,No,9.0,Tuesday,2026-03-17 09:02:38,9,2026-03-17,Tuesday
2026-03-17 09:04:18,DEBUG,cover,9I6NN11L-60K2-25KH-J574-NM30N06766LJ,garage_door,garage,open,udid=9I6NN11L-60K2-25KH-J574-NM30N06766LJ,USR-003,Carol,automation_triggered,No,9.0,Tuesday,2026-03-17 09:04:18,9,2026-03-17,Tuesday
2026-03-17 09:11:57,DEBUG,climate,8H5MM00K-59J1-14JG-I463-ML29M95655KI,smart_thermostat,hallway,turn_off,udid=8H5MM00K-59J1-14JG-I463-ML29M95655KI,USR-003,Carol,state_changed,No,9.0,Tuesday,2026-03-17 09:11:57,9,2026-03-17,Tuesday
2026-03-17 09:53:02,DEBUG,climate,7G4LL99J-48I0-03IF-H352-LK18L84544JH,living_room_ac,living_room,turn_on,udid=7G4LL99J-48I0-03IF-H352-LK18L84544JH,USR-002,Bob,call_service,No,9.0,Tuesday,2026-03-17 09:53:02,9,2026-03-17,Tuesday
2026-03-17 09:57:28,INFO,climate,1A8EF33D-82C4-47C9-B796-FE52F28988DB,bedroom_ac,bedroom,turn_on,udid=1A8EF33D-82C4-47C9-B796-FE52F28988DB,USR-001,Alice,call_service,No,9.0,Tuesday,2026-03-17 09:57:28,9,2026-03-17,Tuesday
2026-03-17 10:01:05,INFO,climate,7G4LL99J-48I0-03IF-H352-LK18L84544JH,living_room_ac,living_room,set_temperature,"udid=7G4LL99J-48I0-03IF-H352-LK18L84544JH, temperature=24, unit=celsius",USR-002,Bob,call_service,No,10.0,Tuesday,2026-03-17 10:01:05,10,2026-03-17,Tuesday
2026-03-17 10:53:17,DEBUG,light,3C0HH55F-04E6-69EB-D918-HG74H40100FD,kitchen_light,kitchen,turn_on,udid=3C0HH55F-04E6-69EB-D918-HG74H40100FD,USR-001,Alice,state_changed,No,10.0,Tuesday,2026-03-17 10:53:17,10,2026-03-17,Tuesday
2026-03-17 10:56:04,DEBUG,media,2B9FG44E-93D5-58DA-C807-GF63G39099EC,living_room_tv,living_room,turn_on,udid=2B9FG44E-93D5-58DA-C807-GF63G39099EC,USR-002,Bob,automation_triggered,No,10.0,Tuesday,2026-03-17 10:56:04,10,2026-03-17,Tuesday
2026-03-17 12:23:20,DEBUG,light,3C0HH55F-04E6-69EB-D918-HG74H40100FD,kitchen_light,kitchen,turn_on,udid=3C0HH55F-04E6-69EB-D918-HG74H40100FD,USR-001,Alice,state_changed,No,12.0,Tuesday,2026-03-17 12:23:20,12,2026-03-17,Tuesday
